dataset,repeat,seed,spearman_soft_vs_kappa,spearman_soft_vs_rho
breast_cancer(37%),0,42,0.8999999999999998,-0.3
breast_cancer(37%),1,43,0.19999999999999998,0.8999999999999998
breast_cancer(37%),2,44,0.9999999999999999,0.3
breast_cancer(37%),3,45,0.9999999999999999,0.9999999999999999
breast_cancer(37%),4,46,0.8999999999999998,0.7
breast_cancer(37%),5,47,0.7,0.9999999999999999
breast_cancer(37%),6,48,0.9999999999999999,0.8999999999999998
breast_cancer(37%),7,49,0.9999999999999999,0.8999999999999998
breast_cancer(37%),8,50,0.9999999999999999,0.8999999999999998
breast_cancer(37%),9,51,0.7,0.7999999999999999
breast_cancer(37%),10,52,-0.7999999999999999,0.7999999999999999
breast_cancer(37%),11,53,0.9999999999999999,0.8999999999999998
synth(5%),0,42,0.9999999999999999,0.7
synth(5%),1,43,0.8999999999999998,0.9999999999999999
synth(5%),2,44,0.6,0.8999999999999998
synth(5%),3,45,0.9999999999999999,0.8999999999999998
synth(5%),4,46,0.9999999999999999,0.9999999999999999
synth(5%),5,47,0.9999999999999999,0.8999999999999998
synth(5%),6,48,0.9999999999999999,0.8999999999999998
synth(5%),7,49,0.9999999999999999,0.9999999999999999
synth(5%),8,50,0.8999999999999998,0.9999999999999999
synth(5%),9,51,0.8999999999999998,0.7999999999999999
synth(5%),10,52,0.9999999999999999,0.8999999999999998
synth(5%),11,53,0.9999999999999999,0.9999999999999999
synth(1%),0,42,0.8999999999999998,0.9999999999999999
synth(1%),1,43,0.6,0.7
synth(1%),2,44,0.6,0.7
synth(1%),3,45,0.9999999999999999,0.9999999999999999
synth(1%),4,46,0.8999999999999998,0.9999999999999999
synth(1%),5,47,0.7,0.8999999999999998
synth(1%),6,48,0.8999999999999998,0.8999999999999998
synth(1%),7,49,0.9999999999999999,0.6
synth(1%),8,50,0.6,0.7
synth(1%),9,51,0.9999999999999999,0.8999999999999998
synth(1%),10,52,-0.39999999999999997,0.7
synth(1%),11,53,-0.39999999999999997,0.9999999999999999
creditcard(1%),0,42,0.9999999999999999,0.6
creditcard(1%),1,43,0.9999999999999999,0.9999999999999999
creditcard(1%),2,44,0.9999999999999999,0.8999999999999998
creditcard(1%),3,45,0.3,0.3
creditcard(1%),4,46,0.39999999999999997,0.8999999999999998
creditcard(1%),5,47,0.9999999999999999,0.9999999999999999
creditcard(1%),6,48,0.9999999999999999,0.9999999999999999
creditcard(1%),7,49,0.9999999999999999,0.8999999999999998
creditcard(1%),8,50,0.8999999999999998,0.6
creditcard(1%),9,51,0.6,0.9999999999999999
creditcard(1%),10,52,0.7,0.8999999999999998
creditcard(1%),11,53,0.8999999999999998,0.8999999999999998
creditcard(0.5%),0,42,0.9999999999999999,0.7999999999999999
creditcard(0.5%),1,43,0.9999999999999999,0.8999999999999998
creditcard(0.5%),2,44,0.9999999999999999,0.9999999999999999
creditcard(0.5%),3,45,0.8999999999999998,0.8999999999999998
creditcard(0.5%),4,46,0.8999999999999998,0.9999999999999999
creditcard(0.5%),5,47,0.9999999999999999,0.39999999999999997
creditcard(0.5%),6,48,0.8999999999999998,0.9999999999999999
creditcard(0.5%),7,49,0.9999999999999999,0.9999999999999999
creditcard(0.5%),8,50,0.9999999999999999,0.7
creditcard(0.5%),9,51,0.8999999999999998,0.8999999999999998
creditcard(0.5%),10,52,0.9999999999999999,0.9999999999999999
creditcard(0.5%),11,53,0.7999999999999999,0.8999999999999998
iotid20(6.4%),0,42,0.8999999999999998,0.9999999999999999
iotid20(6.4%),1,43,0.8999999999999998,0.9999999999999999
iotid20(6.4%),2,44,0.7999999999999999,0.8999999999999998
iotid20(6.4%),3,45,0.8999999999999998,0.9999999999999999
iotid20(6.4%),4,46,0.7,0.8999999999999998
iotid20(6.4%),5,47,0.9999999999999999,0.9999999999999999
iotid20(6.4%),6,48,0.8999999999999998,0.7
iotid20(6.4%),7,49,0.8999999999999998,0.9999999999999999
iotid20(6.4%),8,50,0.9999999999999999,0.6
iotid20(6.4%),9,51,0.9999999999999999,0.9999999999999999
iotid20(6.4%),10,52,0.8999999999999998,0.8999999999999998
iotid20(6.4%),11,53,0.9999999999999999,0.7
abalone(9.4%),0,42,0.7,-0.3
abalone(9.4%),1,43,0.9999999999999999,0.8999999999999998
abalone(9.4%),2,44,0.0,0.9999999999999999
abalone(9.4%),3,45,0.19999999999999998,0.3
abalone(9.4%),4,46,0.9999999999999999,0.9999999999999999
abalone(9.4%),5,47,0.7,0.8999999999999998
abalone(9.4%),6,48,0.49999999999999994,0.9999999999999999
abalone(9.4%),7,49,0.7,0.09999999999999999
abalone(9.4%),8,50,0.8999999999999998,0.8999999999999998
abalone(9.4%),9,51,0.8999999999999998,0.9999999999999999
abalone(9.4%),10,52,0.9999999999999999,0.7
abalone(9.4%),11,53,0.9999999999999999,0.8999999999999998
car_eval_34(7.8%),0,42,0.8999999999999998,0.8999999999999998
car_eval_34(7.8%),1,43,0.9999999999999999,0.6
car_eval_34(7.8%),2,44,0.9999999999999999,0.9999999999999999
car_eval_34(7.8%),3,45,0.7,0.9999999999999999
car_eval_34(7.8%),4,46,0.7999999999999999,0.7
car_eval_34(7.8%),5,47,0.9999999999999999,0.9999999999999999
car_eval_34(7.8%),6,48,0.9999999999999999,0.8999999999999998
car_eval_34(7.8%),7,49,0.6,0.9999999999999999
car_eval_34(7.8%),8,50,0.7,0.3
car_eval_34(7.8%),9,51,-0.19999999999999998,0.9999999999999999
car_eval_34(7.8%),10,52,0.7999999999999999,0.7
car_eval_34(7.8%),11,53,0.8999999999999998,0.8999999999999998
car_eval_4(3.8%),0,42,0.9999999999999999,0.8999999999999998
car_eval_4(3.8%),1,43,0.9999999999999999,0.9999999999999999
car_eval_4(3.8%),2,44,0.9999999999999999,0.8999999999999998
car_eval_4(3.8%),3,45,0.9999999999999999,0.9999999999999999
car_eval_4(3.8%),4,46,0.9999999999999999,0.3
